property_name,property_type,society,sector,price,pricepersqft,area,areaWithType,bedRoom,bathroom,balcony,address,floorNum,facing,agePossession,nearbyLocations,description,rating,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,Water Purifier,Chimney,Fridge,Washing Machine,Geyser,Dining Table,AC,Modular Kitchen,Fan,Light,Sofa,Bed,Microwave,Exhaust Fan,TV,Wardrobe,Stove,Curtains,furnish_type,luxury_score,area_room_ratio,latitude,longitude
2 BHK Flat in Tellapur,flat,Tripuras Galaxy,tellapur,0.87,7190.082644628099,1210.0,Super Built up area 1210(112.41 sq.m.),2.0,2.0,1,"Tellapur, Hyderabad, Hyderabad",4.0,West,Relatively New,17.0,"Best 2 bhk apartment for modern-Day lifestyle is now available for sale. No brokerage involved, posted by owner. Grab this 2 bhk property for sale in one of hyderabad's top location, osman nagar. It is situated on floor 4. The total number of floors in this apartment is 5. The property price of this unit is rs 86.0 l. Monthly maintenance costs rs 3000. The carpet area of this unit is 850 square feet. The built-Up area is 1210 square feet. There are 2 bedrooms and 2 bathroom. This property enjoys a good view and is west-Facing. This property in osman nagar, hyderabad has lift facility as well. It is a safe premise with cctv facility. Other amenities include provisions for gym, sports facility, swimming pool, clubhouse, community hall. This property also enjoys power backup facility. Regular water supply is provided. It has a dedicated sports facility facility as well. Kids have their own kids area. This is a gated community. It is an ideal location for young families with kids, as this property is close to jawahar navodaya vidyalaya rangareddy, birla open minds pre school, and kinderkare preschool and daycare. Healthcare facility is also close at hand with aksha hospitals, city super speciality dental hospital, and city dental & implant centre dental hospital nearby","['Environment4.1 out of 5', 'Safety4.1 out of 5', 'Connectivity4.1 out of 5', 'Lifestyle4.1 out of 5']",1210.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,20.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,111.0,605.0,17.4632,78.2865
2 BHK Flat in Bhoiguda,flat,MBS De Royale Apartment,bhoiguda,0.75,6578.9473684210525,1140.0,Carpet area: 1140 (105.91 sq.m.),2.0,2.0,1,"Bhoiguda, Hyderabad, Hyderabad",2.0,,Old Property,48.0,"It is unique. One row of flats.Oppsite to flat waranda which is facing garden with fountain.Two lifts are there .Surrounding the the central fountain seating sofas are there.Each floor 8 flats.Like that 5floors.Seperate security for 24 hours.Stand by generator for lifts ,pumps,warendas.Maintaince is very less.Near to secunderabad railway station.And vijaya diagnostic. 10 min walk for metro railway station.","['Environment3.8 out of 5', 'Safety3.8 out of 5', 'Connectivity4 out of 5', 'Lifestyle4.1 out of 5']",,,1140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,570.0,17.4273,78.4993
3 BHK Flat in Kondapur,flat,SM Classic,kondapur,1.15,7187.5,1600.0,Super Built up area 1600(148.64 sq.m.)Built Up area: 1545 sq.ft. (143.54 sq.m.),3.0,3.0,1,"201, Kondapur, Hyderabad, Hyderabad",2.0,East,Moderately Old,49.0,"Address - Flat-201,sm classic, raghavendra colony, kondapur, hyderabadAdditional features-
24/7 power backup 
Life
24/7 water availablityWe are proud owners of this 3 bhk apartment available in sm classic apartment, kondapur. The flat comprises 3 bedrooms, 3 bathroom, 1 pooja room 
And 1 balconie. The property is located on 2nd floor of a 5th floor tall building.","['Environment4.1 out of 5', 'Safety4.2 out of 5', 'Connectivity4.2 out of 5', 'Lifestyle4.3 out of 5']",1600.0,1545.0,,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,5.0,20.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,8.0,2.0,28.0,533.3333333333334,17.4699,78.3578
3 BHK Flat in Manikonda,flat,Prajwal Enclave,manikonda,1.25,7936.507936507936,1575.0,Carpet area: 1575 (146.32 sq.m.),3.0,3.0,2,"Manikonda, Hyderabad, Hyderabad",3.0,East,Relatively New,49.0,East facing 3 bhk bedroom in prime location of manikonda. Third floor out of five floors. Two flats per floor. No of flats in building 10 flats.,"['Environment4.2 out of 5', 'Safety4.3 out of 5', 'Connectivity4.3 out of 5', 'Lifestyle4.4 out of 5']",,,1575.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,1.0,37.0,525.0,17.4062,78.3763
3 BHK Flat in Narsingi,flat,Vasavi  Atlantis,narsingi,2.4,10666.666666666666,2250.0,Super Built up area 3330(309.37 sq.m.)Carpet area: 2250 sq.ft. (209.03 sq.m.),3.0,4.0,1,"Narsingi, Hyderabad, Hyderabad",37.0,East,Under Construction,13.0,"Looking for a 3 bhk property for sale in hyderabad? Buy this 3 bhk flat in vasavi atlantis that is situated in narsingi, hyderabad. This residential flat is east-Facing direction. The flat occupies a super built up area of 3330 sq.Ft. That consists of 3 bedrooms, 4 bathrooms and 1 balcony. The residential building has 45 floors in total and the flat for sale is located on the 37th floor. Moreover, the flat is currently under construction and possession is expected by december 2025. The floor of this flat is beautifully designed using vitrified flooring, giving the flat an alluring look. Vasavi atlantis is designed very well to provide modern facilities such as swimming pool, water softening plant, club house / community center, fitness centre / gym, park, lift(s), dg availability, maintenance staff, visitor parking, shopping centre and security personnel. The society provides continuous water supply from municipal corporation.","['Environment4.2 out of 5', 'Safety4.1 out of 5', 'Connectivity4.3 out of 5', 'Lifestyle4.3 out of 5']",3330.0,,2250.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.0,750.0,17.3876,78.3572
2 BHK Flat in Bachupally,flat,Ky Residency,bachupally,0.48,4465.116279069767,1075.0,Carpet area: 1075 (99.87 sq.m.),2.0,2.0,2,"Harithavanam Colony,hyderabad, Bachupally, Hyderabad, Hyderabad",1.0,East,Relatively New,10.0,There's no water problem & peaceful area.,"['Environment4.1 out of 5', 'Safety4.1 out of 5', 'Connectivity4.2 out of 5', 'Lifestyle4.2 out of 5']",,,1075.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,30.0,537.5,17.5513,78.3855
3 BHK Flat in Kompally,flat,Aparna Kanopy Marigold3.7 ★,kompally,1.15,6824.925816023739,1685.0,Super Built up area 1685(156.54 sq.m.),3.0,3.0,1,"Kompally, Secunderabad, Hyderabad",5.0,East,New Property,15.0,Brand new corner flat in one of the reputed ventures of aparna construction with well versed amenities in kompally,"['Connectivity3.6 out of 5', 'Management3.6 out of 5', 'Amenities3.7 out of 5', 'Green Area3.6 out of 5', 'Construction3.8 out of 5']",1685.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,561.6666666666666,17.5366,78.4845
3 BHK Flat in Serlingampally,flat,Fuerzaa Sahasraa,serlingampally,1.23,7299.703264094956,1685.0,Carpet area: 1513 (140.56 sq.m.),3.0,3.0,2,"Serlingampally, Hyderabad, Hyderabad",5.0,East,New Property,50.0,"Fuezra sahasraa connotes a new beginning. A sahasraa home inspires 360-Degree living that becomes the genesis of a fulfilling life.
When you think sahasraa, you think inspired spaces because we have dedicated ourselves to the finer details. There is a chance that you might feel we read your mind.Looking for an affordable apartment with best facilities? You are at the right place!A freehold, semi furnished residential apartment at kondapur,serlingampally, hyderabad, is available for sale.It is located on the 5th floor, which comprises of 3 bedrooms, 3 bathrooms, modular kitchen, master bedroom and park view windows, children bedroom is with children room, large dining hall with crockery unit with wash basin, lights, and fans.There is a balcony in the property, which makes it fully ventilated, full of natural light, with a relaxing view to enjoy.Everything within the apartment is of high quality.Residents will be able to enjoy the benefits of a secure, and safe neighbourhood, as security personnel is available for the property.
Location is very prime near chirac public school 
Many outlets brand like puma,nike ,ect nearby
Aurobindo realty & infrastructure pvt. Ltd is a property developer residential project is coming nearby
Manjeera water connection 
Underground electricity connection 
Key highlights (Facilities/features):A) security / fire alarm
B) power back-Up
C) feng shui / vaastu compliant
D) garden / 
Terrace
E) lift(s)
F) maintenance staff
G) water storage
H) bank attached property
I) 
J) visitor parking
K) swimming pool
L) park
M) security personnel
N) internet/wi-Fi connectivity 
O)
P) fitness centre / gym
Q) waste disposal
R) rain water harvesting
S) club house / community center
T) water softening plant
U) 1 covered parking
V) 24*7 water supply
W) close to school multiple schoolsIsnt it the perfect home you are looking for? Then wait no more and just grab the opportunity right away!Contact owner for more information.
Additional details :The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
Power backup is available.
There is also a separate washroom for domestic help.
The society has dedicated security guards for every tower.
 The flats are very spacious and constructed according to vaastu where it looks like a french colony due to the painting scheme and front designs..Finally the location is much peaceful and well connected to all major points in city","['Environment3.9 out of 5', 'Safety3.9 out of 5', 'Connectivity4.2 out of 5', 'Lifestyle4.1 out of 5']",,,1513.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,115.0,561.6666666666666,17.4837,78.3158
3 BHK Flat in Hafeezpet,flat,Gopal Nagar Housing Society,hafeezpet,1.25,7575.757575757576,1650.0,Carpet area: 1650 (153.29 sq.m.),3.0,3.0,3,"Rd Number 6b, Gopalnagar Society, Hafeezpet, Hyderabad, Telangana 500085, Hafeezpet, Hyderabad, Hyderabad",4.0,,Moderately Old,50.0,"This flat is located in gopal nagar society which is in close proximity to prime locations like hi tech city, jntu, kondapur and miyapur in all directions. 
Flat is east facing with 100% vastu compliant and consists of 3 spacious bed rooms and 3 balconies with full of ventilation.
Its well maintained and ready to occupy flat in the heart of the city.","['Environment4 out of 5', 'Safety4.2 out of 5', 'Connectivity4.3 out of 5', 'Lifestyle4.1 out of 5']",,,1650.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,28.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,79.0,550.0,17.4842,78.3603
3 BHK Flat in Begumpet,flat,Shreemukh Konthem Towers,begumpet,1.91,9095.238095238095,2100.0,Super Built up area 2300(213.68 sq.m.)Carpet area: 2100 sq.ft. (195.1 sq.m.),3.0,3.0,3,"Begumpet, Hyderabad, Hyderabad",6.0,,Relatively New,45.0,"A very good 3 bhk flat with 100% vastu for rent in begumpet, hyderabad. It is a superb property and offers an excellent view. The flat is furnished with multiple amenities and promises a comfortable stay. 
45k rent (Negotiable)","['Environment4.1 out of 5', 'Safety4.3 out of 5', 'Connectivity4.5 out of 5', 'Lifestyle4.5 out of 5']",2300.0,,2100.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,3.0,1.0,5.0,12.0,0.0,3.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,700.0,17.4447,78.4664
