property_type,sector,bedRoom,bathroom,balcony,agePossession,built_up_area,study room,servant room,pooja room,luxury_score,furnish_score,floor_category
flat,tellapur,2.0,2.0,1,Relatively New,1210.0,0.0,0.0,0.0,Medium,unfurnished,Mid Floor
flat,bhoiguda,2.0,2.0,1,Old Property,1140.0,0.0,0.0,0.0,Low,unfurnished,Low Floor
flat,kondapur,3.0,3.0,1,Moderately Old,1545.0,0.0,0.0,1.0,Low,semifurnished,Low Floor
flat,manikonda,3.0,3.0,2,Relatively New,1575.0,0.0,0.0,1.0,Low,unfurnished,Mid Floor
flat,narsingi,3.0,4.0,1,Under Construction,3330.0,0.0,1.0,0.0,High,unfurnished,High Floor
flat,bachupally,2.0,2.0,2,Relatively New,1075.0,0.0,0.0,1.0,Low,unfurnished,Low Floor
flat,kompally,3.0,3.0,1,New Property,1685.0,0.0,0.0,0.0,Low,unfurnished,Mid Floor
flat,serlingampally,3.0,3.0,2,New Property,1513.0,0.0,0.0,0.0,Medium,unfurnished,Mid Floor
flat,hafeezpet,3.0,3.0,3,Moderately Old,1650.0,0.0,0.0,1.0,Low,semifurnished,Mid Floor
flat,begumpet,3.0,3.0,3,Relatively New,2300.0,0.0,0.0,1.0,Low,unfurnished,Mid Floor
flat,kokapet,3.0,3.0,1,New Property,1945.0,0.0,0.0,0.0,High,unfurnished,Mid Floor
flat,ameerpet,3.0,2.0,3,Old Property,1420.0,0.0,0.0,1.0,Low,unfurnished,Low Floor
flat,kompally,2.0,2.0,2,New Property,842.0,1.0,0.0,1.0,High,unfurnished,Low Floor
flat,kompally,3.0,3.0,1,New Property,1960.0,0.0,0.0,0.0,Medium,unfurnished,Mid Floor
flat,patancheru,2.0,2.0,1,New Property,910.0,0.0,0.0,0.0,Low,unfurnished,Mid Floor
flat,sri balaji layout,3.0,3.0,2,Old Property,1611.0,0.0,0.0,0.0,Low,unfurnished,Mid Floor
flat,manikonda,2.0,2.0,2,Moderately Old,1150.0,0.0,0.0,0.0,Low,unfurnished,Mid Floor
flat,mansoorabad,3.0,3.0,2,New Property,1525.0,0.0,0.0,0.0,Low,unfurnished,Low Floor
flat,malkajgiri,2.0,2.0,1,Moderately Old,1020.0,0.0,0.0,1.0,Low,unfurnished,Low Floor
flat,aminpur,2.0,2.0,1,Moderately Old,1161.0,0.0,0.0,0.0,Low,unfurnished,Low Floor
flat,kokapet,3.0,3.0,2,New Property,1675.0,0.0,0.0,0.0,Medium,unfurnished,Mid Floor
flat,narsingi,2.0,2.0,1,Relatively New,1090.0,0.0,0.0,0.0,Low,unfurnished,Mid Floor
flat,suchitra,2.0,2.0,2,Under Construction,1280.0,0.0,0.0,1.0,Medium,unfurnished,Mid Floor
flat,narsingi,3.0,3.0,3,New Property,3128.0,1.0,0.0,0.0,Low,unfurnished,Mid Floor
flat,malkajgiri,3.0,3.0,1,New Property,1405.0,0.0,0.0,0.0,Low,unfurnished,Low Floor
flat,vanasthalipuram,3.0,3.0,3,Under Construction,2000.0,0.0,0.0,1.0,Low,unfurnished,Low Floor
flat,nallagandla,2.0,2.0,2,New Property,1214.0,0.0,0.0,0.0,Low,unfurnished,Mid Floor
flat,malkajgiri,3.0,3.0,2,Relatively New,2000.0,0.0,0.0,0.0,Low,unfurnished,Low Floor
flat,kapra,3.0,3.0,1,Moderately Old,1143.0,0.0,0.0,0.0,Medium,unfurnished,Low Floor
flat,uppal,2.0,2.0,2,New Property,1025.0,0.0,0.0,1.0,Low,unfurnished,Low Floor
flat,hastinapuram,3.0,3.0,2,New Property,1845.0,0.0,0.0,0.0,Medium,unfurnished,Mid Floor
flat,alkapuri,2.0,2.0,2,Moderately Old,1020.0,0.0,0.0,0.0,Medium,unfurnished,Low Floor
flat,medipally,2.0,2.0,2,Relatively New,1062.0,0.0,0.0,0.0,Medium,unfurnished,Low Floor
flat,bachupally,3.0,3.0,1,New Property,1700.0,0.0,0.0,0.0,Medium,unfurnished,Low Floor
flat,kondapur,3.0,3.0,1,Old Property,1495.0,0.0,0.0,0.0,Medium,unfurnished,Mid Floor
flat,hyder nagar,3.0,2.0,2,Old Property,1490.0,0.0,0.0,0.0,Medium,unfurnished,Mid Floor
flat,miyapur,2.0,2.0,0,Old Property,757.0,0.0,0.0,0.0,Low,unfurnished,Mid Floor
flat,manikonda,2.0,2.0,1,Relatively New,1237.0,0.0,0.0,0.0,Medium,semifurnished,Low Floor
flat,uppal,2.0,2.0,1,New Property,1330.0,0.0,0.0,0.0,Medium,unfurnished,High Floor
flat,miyapur,2.0,2.0,1,New Property,810.0,0.0,0.0,0.0,Low,unfurnished,High Floor
