Sector,Coordinates
Sector tellapur,"17.4632° N, 78.2865° E"
Sector bhoiguda,"17.4273° N, 78.4993° E"
Sector kondapur,"17.4699° N, 78.3578° E"
Sector manikonda,"17.4062° N, 78.3763° E"
Sector narsingi,"17.3876° N, 78.3572° E"
Sector bachupally,"17.5513° N, 78.3855° E"
Sector new maruthi nagar,"17.3777° N, 78.5356° E"
Sector kompally,"17.5366° N, 78.4845° E"
Sector lb nagar,"17.3457° N, 78.5522° E"
Sector serlingampally,"17.4837° N, 78.3158° E"
Sector hafeezpet,"17.4842° N, 78.3603° E"
Sector begumpet,"17.4447° N, 78.4664° E"
Sector pragathi nagar,"17.5186° N, 78.3963° E"
Sector kokapet,"17.3933° N, 78.3411° E"
Sector ameerpet,"17.4375° N, 78.4482° E"
Sector patancheru,"17.5287° N, 78.2667° E"
Sector sri balaji layout,"17.5255° N, 78.4233° E"
Sector mansoorabad,"17.3427° N, 78.5735° E"
Sector malkajgiri,"17.4503° N, 78.5322° E"
Sector aminpur,"17.5171° N, 78.3157° E"
Sector nallakunta,"17.3991° N, 78.5017° E"
Sector chilkalguda,"17.4282° N, 78.5165° E"
Sector suchitra,"17.5022° N, 78.4716° E"
Sector mahendra hills,"17.4547° N, 78.5192° E"
Sector asif nagar,"17.3868° N, 78.4539° E"
Sector vanasthalipuram,"17.3317° N, 78.5754° E"
Sector marredpally,
Sector nallagandla,"17.4748° N, 78.3103° E"
Sector kapra,"17.4885° N, 78.5682° E"
Sector uppal,"17.3984° N, 78.5583° E"
Sector hastinapuram,"17.3168° N, 78.5513° E"
Sector alkapuri,"17.3686° N, 78.5540° E"
Sector medipally,"17.4078° N, 78.6023° E"
Sector bandlaguda jagir,"17.3630° N, 78.3943° E"
Sector hyder nagar,"17.5011° N, 78.3852° E"
Sector prasanth nagar,"17.5043° N, 78.3540° E"
Sector miyapur,"17.5169° N, 78.3428° E"
Sector madinaguda,"17.5004° N, 78.3387° E"
Sector bhanur,"17.4736° N, 78.1735° E"
Sector yellareddyguda,"17.4327° N, 78.4425° E"
Sector somajiguda,"17.4237° N, 78.4584° E"
Sector moti nagar,"17.4492° N, 78.4182° E"
Sector srinagar colony,"17.4321° N, 78.4385° E"
Sector osmania university teachers colony,"17.4919° N, 78.5455° E"
Sector kavadiguda,"17.4171° N, 78.4907° E"
Sector hi tech city,"17.4435° N, 78.3772° E"
Sector mallapur,"17.4465° N, 78.5746° E"
Sector nizampet,"17.5197° N, 78.3779° E"
Sector allauddin basthi,"17.4585° N, 78.4475° E"
Sector shilpa nagar,"17.4829° N, 78.6044° E"
Sector sainikpuri,"17.4928° N, 78.5469° E"
Sector old safilguda,"17.4703° N, 78.5480° E"
Sector vijaya nagar colony,"17.3948° N, 78.4532° E"
Sector nandamuri nagar,"17.5011° N, 78.3883° E"
Sector rajendra nagar,"17.3220° N, 78.4023° E"
Sector madhapur,"17.4486° N, 78.3908° E"
Sector pocharam,"17.4249° N, 78.6448° E"
Sector boduppal,"17.4141° N, 78.5791° E"
Sector santosh nagar,"17.3472° N, 78.5083° E"
Sector hayathnagar,"17.3271° N, 78.6053° E"
Sector boosareddy guda,"17.4481° N, 78.5031° E"
Sector nagole,"17.3715° N, 78.5695° E"
Sector narapally,"17.4294° N, 78.6138° E"
Sector diamond hills,"17.4341° N, 78.3718° E"
Sector banjara hills,"17.4169° N, 78.4387° E"
Sector gachibowli,"17.4401° N, 78.3489° E"
Sector kowkoor village,"17.5257° N, 78.5362° E"
Sector film nagar,"17.4160° N, 78.4114° E"
Sector red hills,"17.3964° N, 78.4681° E"
Sector ap textbook colony,"17.4607° N, 78.4972° E"
Sector kukatpally,"17.4875° N, 78.3953° E"
Sector anand banjara colony,"17.4127° N, 78.4361° E"
Sector turkayamjal,"17.2714° N, 78.5781° E"
Sector nagaram,"17.4853° N, 78.6099° E"
Sector gajulramaram,"17.5350° N, 78.4022° E"
Sector chandanagar,"17.4934° N, 78.3278° E"
Sector sbh colony,"17.3449° N, 78.5469° E"
Sector pradham puri colony,"17.4936° N, 78.5565° E"
Sector anand nagar colony,"17.4113° N, 78.4564° E"
Sector gagan mahal,"17.4080° N, 78.4802° E"
Sector saket,
Sector bhagya nagar colony,"17.4949° N, 78.4031° E"
Sector rk puram,"17.3689° N, 78.5534° E"
Sector ravindra nagar,"17.4071° N, 78.5398° E"
Sector tarnaka,"17.4301° N, 78.5416° E"
Sector bowrampet,"17.5749° N, 78.3910° E"
Sector venkatapuram,"17.4939° N, 78.5043° E"
Sector ramdas nagar,"17.4883° N, 78.5597° E"
Sector gandimaisamma,"17.5752° N, 78.4232° E"
Sector ghatkesar,"17.4511° N, 78.6810° E"
Sector muthangi,"17.5426° N, 78.2267° E"
Sector kaali mandir,"17.3511° N, 78.3778° E"
Sector haripuri colony,
Sector osman nagar,"17.4416° N, 78.2785° E"
Sector chintalmet,"17.3476° N, 78.4241° E"
Sector sanath nagar,"17.4563° N, 78.4439° E"
Sector sundar nagar,"17.4507° N, 78.4390° E"
Sector tukkuguda,
Sector east marredpally,"17.4476° N, 78.5137° E"
Sector new nagole colony,"17.3731° N, 78.5540° E"
Sector peerzadiguda,"17.3991° N, 78.6098° E"
Sector parimala nagar,"17.4837° N, 78.5675° E"
Sector hyderguda,"17.3938° N, 78.4835° E"
Sector yapral,"17.5060° N, 78.5330° E"
Sector shilpa hills,"17.4657° N, 78.3721° E"
Sector ramachandrapuram,"17.5192° N, 78.3066° E"
Sector zahra nagar,"17.4189° N, 78.4432° E"
Sector ou colony,"17.4071° N, 78.3906° E"
Sector nanakramguda,"17.4169° N, 78.3424° E"
Sector gopanpally,
Sector bahadurpally,"17.5641° N, 78.4377° E"
Sector padmarao nagar,"17.4253° N, 78.5150° E"
Sector barkatpura,"17.3920° N, 78.4969° E"
Sector lalitha nagar,"17.4099° N, 78.5128° E"
Sector bolarum,"17.5218° N, 78.5110° E"
Sector new malakpet,"17.3672° N, 78.5136° E"
Sector pedso 2,"17.5107° N, 78.5427° E"
Sector shaikpet,"17.4060° N, 78.3908° E"
Sector isnapur,"17.5466° N, 78.2131° E"
Sector manchirevula village,"17.3728° N, 78.3498° E"
Sector moula ali,"17.4629° N, 78.5609° E"
Sector masab tank,"17.4033° N, 78.4529° E"
Sector west marredpally,"17.4524° N, 78.5060° E"
Sector bairagiguda,"17.3788° N, 78.3523° E"
Sector medchal & kalkal village,
Sector appa junction,"17.3497° N, 78.3603° E"
Sector puppalaguda,"17.3982° N, 78.3749° E"
Sector tolichowki,"17.3990° N, 78.4157° E"
Sector narayanguda,"17.3986° N, 78.4930° E"
Sector vaidehi nagar,"17.3204° N, 78.5713° E"
Sector jawahar nagar,"17.5098° N, 78.5647° E"
Sector mokila,"17.4393° N, 78.1849° E"
Sector sreenivasa nagar,"17.5034° N, 78.3935° E"
Sector mailardevpally,"17.3185° N, 78.4519° E"
Sector 5th phase kphb,"17.4785° N, 78.3920° E"
Sector nacharam,"17.4308° N, 78.5595° E"
Sector allwyn colony,"17.5066° N, 78.4112° E"
Sector shamshabad,"17.2619° N, 78.3880° E"
Sector gundlapochampalli,"17.5671° N, 78.4773° E"
Sector kushaiguda,"17.4803° N, 78.5699° E"
Sector santoshnagar,"17.3472° N, 78.5083° E"
Sector manik sai enclave,"17.4959° N, 78.5451° E"
Sector kowkur,"17.5257° N, 78.5362° E"
Sector turkapally,
Sector balamrai,"17.4490° N, 78.4844° E"
Sector ashraf nagar,"17.3737° N, 78.4969° E"
Sector defence colony,"17.3728° N, 78.4262° E"
Sector peeramcheru,"17.3586° N, 78.3774° E"
Sector langer house,"17.3782° N, 78.4208° E"
Sector gandhamguda,"17.3650° N, 78.3800° E"
Sector sun city,"17.3676° N, 78.3945° E"
Sector dilsukh nagar,"17.3685° N, 78.5316° E"
Sector mj colony,"17.4696° N, 78.5625° E"
Sector medchal,"17.6323° N, 78.4805° E"
Sector karmanghat,"17.3413° N, 78.5316° E"
Sector pjr layout,"17.5052° N, 78.3373° E"
Sector agi colony,"17.4711° N, 78.4195° E"
Sector 6th phase kphb,"17.4870° N, 78.3861° E"
Sector geological survey of india colony,
Sector financial district,"17.4108° N, 78.3416° E"
Sector kalyan nagar,"17.4526° N, 78.4219° E"
Sector khajaguda,"17.4179° N, 78.3642° E"
Sector peeranchuruvu,"17.3586° N, 78.3774° E"
Sector venkateshwara colony,"17.3550° N, 78.5334° E"
Sector whitefield,"17.4555° N, 78.3685° E"
Sector goutami enclave,"17.4656° N, 78.3505° E"
Sector bn reddy nagar,"17.3141° N, 78.5613° E"
Sector laxmi narayan nagar colony,"17.3838° N, 78.5533° E"
Sector 3rd phase kphb,"17.4906° N, 78.3928° E"
Sector janachaitanya colony,"17.3476° N, 78.4092° E"
Sector laxmi nagar,"17.3564° N, 78.5103° E"
Sector p janardhan reddy nagar,"17.4399° N, 78.3657° E"
Sector shanakar nagar,"17.5102° N, 78.3124° E"
Sector patancheruvu,"17.5287° N, 78.2667° E"
Sector krishna reddy pet,"17.5359° N, 78.2903° E"
Sector gandipet,"17.3807° N, 78.3245° E"
Sector muppas panchavati colony,"17.4103° N, 78.3814° E"
Sector alkapoor township,"17.3970° N, 78.3765° E"
Sector tirumala hills,"17.3650° N, 78.5171° E"
Sector neknampur,"17.3907° N, 78.3753° E"
Sector ambedkar nagar,"17.4064° N, 78.4532° E"
Sector panjagutta,"17.4254° N, 78.4505° E"
Sector kothaguda,"17.4643° N, 78.3756° E"
Sector tellpur osmannagar,
Sector gayathri nagar colony,"17.3696° N, 78.3902° E"
Sector bhel,"17.4916° N, 78.2920° E"
Sector lanco hills,
Sector radika to dammaiguda road,
Sector jayabheri pine valley,"17.4290° N, 78.3691° E"
Sector near michale,
Sector rampally,"17.4672° N, 78.6419° E"
Sector goutham nagar,"17.4560° N, 78.5299° E"
Sector mallampet,"17.5502° N, 78.3359° E"
Sector konda nagar,"17.2995° N, 78.5050° E"
Sector jubilee hills,"17.4326° N, 78.4071° E"
Sector sd road,
Sector rn reddy colony,"17.3197° N, 78.5398° E"
Sector madhav purram,
Sector shapur nagar,"17.5194° N, 78.4430° E"
Sector camelot layout,"17.4658° N, 78.3480° E"
Sector bandam kommu,"17.5043° N, 78.3231° E"
Sector hyderabad,"17.3850° N, 78.4867° E"
Sector kachiguda,"17.3901° N, 78.4933° E"
