Sector,Coordinates
Sector 1st phase kphb,
"Sector ahmedguda,bandlaguda,ecil",
Sector al hasnath colony,"17.3988° N, 78.4219° E"
"Sector alwal,near michale",
"Sector anand nagar colony, bandlaguda jagir",
Sector annapurna colony,"17.4239° N, 78.5796° E"
Sector aparna palm grow devendra colony kompally,
Sector apple avenue gated community,
Sector apurupa colony,"17.5292° N, 78.4482° E"
"Sector ashok nagar, ramachandrapuram","17.5060° N, 78.3138° E"
Sector asif nagar to mehdipatnam,
Sector attapur ring road,
Sector aushapur,
Sector aziz bagh colony,
Sector baba nagar housing society,
Sector bagh amberpet,"17.3960° N, 78.5167° E"
Sector balakrishna nagar,"17.4950° N, 78.4187° E"
Sector balasaraswathi nagar,"17.4518° N, 78.5395° E"
Sector bandlaguda kohinoor colony near mahaveer college,
Sector bangalore highway,
Sector bank colony,"17.4160° N, 78.5171° E"
Sector bhaskar rao nagar colony,"17.4906° N, 78.5477° E"
Sector bhel avemachs,
Sector bhongir,
Sector bibinagar,
"Sector brindavan nagar colony, gollaguda, trimulgherry",
Sector chandragiri colony near dav school,
Sector chintalkunta,"17.3339° N, 78.5622° E"
Sector chititra medchal,
Sector choutuppal,
Sector cpnr brindavan colony malapur,
Sector dd colony,"17.4016° N, 78.5199° E"
Sector deeptishree nagar,"17.5016° N, 78.3380° E"
Sector devender colony,"17.5461° N, 78.4880° E"
"Sector devender nagar, balaji nagar, kapra.",
Sector devi nagar,"17.4845° N, 78.4191° E"
"Sector dharmapuri colony, habsiguda",
Sector doultabad,
Sector dubai gate bus stop opposite to vaishnavi devi hasmathpet,
Sector dundigal,
Sector east kakatiya nagar neeredmet,"17.4776° N, 78.5437° E"
Sector edi bazaar,"17.3462° N, 78.4961° E"
Sector errakunta,
Sector fab city,
Sector fetri,
Sector gagillapur,"17.6128° N, 78.3894° E"
Sector gandhamguda,
Sector geological survey of india colony,
"Sector ghanpur, velimala",
Sector ghatpally,
Sector golconda fort area,
Sector golden heights colony,
Sector gopanapalli,"17.4514° N, 78.3092° E"
Sector gopanapalli thanda,"17.4379° N, 78.3080° E"
Sector gopanpally,
Sector gowdavalli,
"Sector green lands society, manchirevula",
Sector harithavanam colony,
Sector hasmatpet,
Sector hig,"17.5054° N, 78.3015° E"
"Sector huda layout,opp. sunrise school,kuntloor",
"Sector huda trade center, near lingampalli railway station",
Sector hyderabad to zaheerabad highway,
"Sector hyderabad, andhra pradesh","17.3850° N, 78.4867° E"
Sector ias colony,"17.4057° N, 78.4158° E"
Sector ibrahimpatnam,
Sector indira nagar colony warisguda secunderabad,
Sector indra reddy alwyn colony,
Sector jafferguda,"17.3769° N, 78.4393° E"
Sector jayabheri park,
Sector jayabheri park kompally,
Sector jb colony,"17.3590° N, 78.5384° E"
Sector journalists colony phase 3,"17.4324° N, 78.3131° E"
Sector jyothi colony,
Sector kakateeya nagar,"17.4157° N, 78.5410° E"
Sector kaladhar nagar,
Sector kandigalgate,
"Sector kapra,as rao nagar",
Sector kartikeya nagar,
"Sector kimtee colony ,tarnaka","17.4299° N, 78.5392° E"
Sector kings colony,"17.3310° N, 78.4454° E"
Sector kmr estates,
Sector kollur,"17.4436° N, 78.2509° E"
Sector kolluru,"17.4436° N, 78.2509° E"
Sector kothur,
Sector krcr colony road no 6,
Sector kundanbagh,"17.4345° N, 78.4584° E"
Sector kutbi guda,"17.3867° N, 78.4901° E"
Sector lakdaram,"17.5804° N, 78.2077° E"
Sector lake view enclave,
Sector lanco hills,
Sector mac society,"17.4949° N, 78.2814° E"
Sector machabolaram,
Sector madhav purram,
Sector madhu sudhan nagar,
Sector madhura nagar colony,"17.4231° N, 78.3771° E"
"Sector mahesh nagar, ecil",
Sector maheshwaram,"17.5629° N, 78.3752° E"
Sector malakunta,"17.3818° N, 78.4741° E"
Sector malkapur,
"Sector mallapur, near nacharam",
"Sector mallikarjuna nagar, surya nagar, medchel",
Sector manik sai enclave,
