property_type,sectors,bedRoom,bathroom,balcony,agePossession,built_up_area,servant room,pooja room,furnish_type,luxury_category,floor_category
flat,tellapur,2.0,2.0,1.0,Relatively New,1210.0,0.0,0.0,semifurnished,Medium,Mid Floor
flat,bhoiguda,2.0,2.0,1.0,Old Property,1140.0,0.0,0.0,semifurnished,Low,Low Floor
flat,kondapur,3.0,3.0,1.0,Moderately Old,1545.0,0.0,1.0,furnished,Low,Low Floor
flat,manikonda,3.0,3.0,2.0,Relatively New,1575.0,0.0,1.0,semifurnished,Low,Mid Floor
flat,narsingi,3.0,4.0,1.0,Under Construction,3330.0,1.0,0.0,unfurnished,High,High Floor
flat,bachupally,2.0,2.0,2.0,Relatively New,1075.0,0.0,1.0,semifurnished,Low,Low Floor
flat,new maruthi nagar,2.0,2.0,1.0,Old Property,850.0,0.0,0.0,semifurnished,Low,Low Floor
flat,kompally,3.0,3.0,1.0,New Property,1685.0,0.0,0.0,unfurnished,Low,Mid Floor
flat,lb nagar,3.0,4.0,3.0,Under Construction,2200.0,0.0,1.0,unfurnished,Low,Low Floor
flat,serlingampally,3.0,3.0,2.0,New Property,1513.0,0.0,0.0,semifurnished,Medium,Mid Floor
flat,hafeezpet,3.0,3.0,3.0,Moderately Old,1650.0,0.0,1.0,semifurnished,Low,Mid Floor
flat,begumpet,3.0,3.0,3.0,Relatively New,2300.0,0.0,1.0,unfurnished,Low,Mid Floor
flat,pragathi nagar,2.0,2.0,1.0,New Property,1225.0,0.0,1.0,unfurnished,Low,Low Floor
flat,kokapet,3.0,3.0,1.0,New Property,1945.0,0.0,0.0,unfurnished,High,Mid Floor
flat,ameerpet,3.0,2.0,3.0,Old Property,1420.0,0.0,1.0,semifurnished,Low,Low Floor
flat,kompally,2.0,2.0,2.0,New Property,842.0,0.0,1.0,semifurnished,High,Low Floor
flat,kompally,3.0,3.0,1.0,New Property,1960.0,0.0,0.0,unfurnished,Medium,Mid Floor
flat,patancheru,2.0,2.0,1.0,New Property,910.0,0.0,0.0,unfurnished,Low,Mid Floor
flat,sri balaji layout,3.0,3.0,2.0,Old Property,1611.0,0.0,0.0,semifurnished,Low,Mid Floor
flat,manikonda,2.0,2.0,2.0,Moderately Old,1150.0,0.0,0.0,furnished,Low,Mid Floor
flat,mansoorabad,3.0,3.0,2.0,New Property,1525.0,0.0,0.0,unfurnished,Low,Low Floor
flat,malkajgiri,2.0,2.0,1.0,Moderately Old,1020.0,0.0,1.0,semifurnished,Low,Low Floor
flat,aminpur,2.0,2.0,1.0,Moderately Old,1161.0,0.0,0.0,semifurnished,Low,Low Floor
flat,nallakunta,3.0,2.0,1.0,New Property,1050.0,0.0,1.0,unfurnished,Low,Mid Floor
flat,kokapet,3.0,3.0,2.0,New Property,1675.0,0.0,0.0,unfurnished,Medium,Mid Floor
flat,chilkalguda,3.0,3.0,2.0,Old Property,1830.0,0.0,1.0,semifurnished,Low,Mid Floor
flat,narsingi,2.0,2.0,1.0,Relatively New,1090.0,0.0,0.0,unfurnished,Low,Mid Floor
flat,suchitra,2.0,2.0,2.0,Under Construction,1280.0,0.0,1.0,unfurnished,Medium,Mid Floor
flat,narsingi,3.0,3.0,3.0,New Property,3128.0,0.0,0.0,semifurnished,Low,Mid Floor
flat,mahendra hills,3.0,3.0,1.0,New Property,1405.0,0.0,0.0,unfurnished,Low,Low Floor
flat,asif nagar,4.0,4.0,0.0,Old Property,5000.0,0.0,0.0,semifurnished,Low,Mid Floor
flat,vanasthalipuram,3.0,3.0,3.0,Under Construction,2000.0,0.0,1.0,unfurnished,Low,Low Floor
flat,marredpally,2.0,2.0,1.0,Old Property,1000.0,0.0,0.0,semifurnished,Low,Mid Floor
flat,pragathi nagar,3.0,3.0,1.0,New Property,1680.0,0.0,0.0,unfurnished,Low,Mid Floor
flat,nallagandla,2.0,2.0,2.0,New Property,1214.0,0.0,0.0,unfurnished,Low,Mid Floor
flat,malkajgiri,3.0,3.0,2.0,Relatively New,2000.0,0.0,0.0,semifurnished,Low,Low Floor
flat,kapra,3.0,3.0,1.0,Moderately Old,1143.0,0.0,0.0,unfurnished,Medium,Low Floor
flat,uppal,2.0,2.0,2.0,New Property,1025.0,0.0,1.0,unfurnished,Low,Low Floor
flat,hastinapuram,3.0,3.0,2.0,New Property,1845.0,0.0,0.0,unfurnished,Medium,Mid Floor
flat,lb nagar,3.0,3.0,2.0,New Property,1725.0,0.0,1.0,semifurnished,Low,Mid Floor
flat,alkapuri,2.0,2.0,2.0,Moderately Old,1020.0,0.0,0.0,semifurnished,Medium,Low Floor
flat,medipally,2.0,2.0,2.0,Relatively New,1062.0,0.0,0.0,furnished,Medium,Low Floor
flat,bachupally,3.0,3.0,1.0,New Property,1700.0,0.0,0.0,unfurnished,Medium,Low Floor
flat,bandlaguda jagir,3.0,3.0,2.0,New Property,1500.0,0.0,0.0,unfurnished,Medium,Low Floor
flat,kondapur,3.0,3.0,1.0,Old Property,1495.0,0.0,0.0,semifurnished,Medium,Mid Floor
flat,hyder nagar,3.0,2.0,2.0,Old Property,1490.0,0.0,0.0,semifurnished,Medium,Mid Floor
flat,prasanth nagar,2.0,2.0,0.0,Old Property,757.0,0.0,0.0,semifurnished,Low,Mid Floor
flat,manikonda,2.0,2.0,1.0,Relatively New,1237.0,0.0,0.0,semifurnished,Medium,Low Floor
flat,uppal,2.0,2.0,1.0,New Property,1330.0,0.0,0.0,unfurnished,Medium,High Floor
flat,miyapur,2.0,2.0,1.0,New Property,810.0,0.0,0.0,unfurnished,Low,High Floor
flat,madinaguda,3.0,3.0,2.0,Relatively New,1420.0,0.0,0.0,semifurnished,Low,Mid Floor
flat,bhanur,3.0,3.0,2.0,New Property,1512.0,0.0,1.0,unfurnished,Low,Mid Floor
flat,yellareddyguda,2.0,2.0,2.0,Moderately Old,980.0,0.0,0.0,semifurnished,Low,Low Floor
flat,somajiguda,2.0,2.0,2.0,Old Property,1032.0,0.0,0.0,semifurnished,Low,Low Floor
flat,moti nagar,3.0,2.0,1.0,New Property,1583.0,0.0,0.0,unfurnished,Medium,High Floor
flat,srinagar colony,2.0,2.0,1.0,Old Property,941.0,0.0,0.0,semifurnished,Low,Mid Floor
flat,osmania university teachers colony,3.0,3.0,2.0,New Property,2350.0,0.0,1.0,semifurnished,Low,Low Floor
flat,kavadiguda,3.0,2.0,2.0,Old Property,1150.0,0.0,0.0,semifurnished,Low,Low Floor
flat,hi tech city,2.0,2.0,1.0,Under Construction,1250.0,0.0,0.0,unfurnished,Low,Mid Floor
flat,mallapur,2.0,2.0,2.0,Old Property,1065.0,0.0,0.0,unfurnished,Low,Mid Floor
flat,pragathi nagar,2.0,2.0,2.0,Old Property,1103.0,0.0,1.0,semifurnished,Medium,Mid Floor
flat,nizampet,2.0,2.0,2.0,Relatively New,1000.0,0.0,1.0,semifurnished,Low,Mid Floor
flat,allauddin basthi,3.0,3.0,3.0,Moderately Old,1818.0,0.0,1.0,semifurnished,Medium,Mid Floor
flat,shilpa nagar,3.0,3.0,2.0,Moderately Old,1378.0,0.0,1.0,unfurnished,Low,Low Floor
flat,sainikpuri,2.0,2.0,2.0,Relatively New,1020.0,0.0,1.0,semifurnished,Medium,Low Floor
flat,miyapur,3.0,3.0,2.0,Moderately Old,1960.0,0.0,1.0,semifurnished,Low,Mid Floor
flat,old safilguda,2.0,2.0,1.0,Old Property,789.0,0.0,0.0,semifurnished,Low,Low Floor
flat,madinaguda,2.0,2.0,2.0,Old Property,720.0,0.0,0.0,semifurnished,Low,Low Floor
flat,nizampet,3.0,3.0,2.0,Relatively New,1555.0,0.0,1.0,semifurnished,Medium,Low Floor
flat,vijaya nagar colony,2.0,2.0,1.0,Moderately Old,1200.0,0.0,0.0,unfurnished,Low,Mid Floor
flat,nandamuri nagar,3.0,2.0,2.0,Old Property,1350.0,0.0,1.0,unfurnished,Low,Low Floor
flat,rajendra nagar,2.0,2.0,1.0,Relatively New,994.0,0.0,0.0,semifurnished,Low,Mid Floor
flat,madhapur,2.0,2.0,2.0,Relatively New,1150.0,0.0,0.0,semifurnished,Low,Low Floor
flat,pocharam,3.0,3.0,1.0,Old Property,1072.0,0.0,0.0,semifurnished,Medium,Low Floor
flat,nizampet,2.0,2.0,1.0,Old Property,1155.0,0.0,0.0,semifurnished,Low,Low Floor
flat,boduppal,2.0,2.0,2.0,Old Property,1050.0,0.0,0.0,semifurnished,Low,Low Floor
flat,santosh nagar,2.0,2.0,1.0,Moderately Old,950.0,0.0,0.0,semifurnished,Low,Mid Floor
flat,hayathnagar,3.0,3.0,1.0,New Property,1719.0,0.0,1.0,unfurnished,Low,Mid Floor
flat,hayathnagar,3.0,3.0,2.0,Under Construction,1460.0,0.0,0.0,unfurnished,Low,Low Floor
flat,miyapur,2.0,2.0,1.0,Under Construction,918.0,0.0,0.0,unfurnished,Medium,Mid Floor
flat,boosareddy guda,3.0,2.0,2.0,Old Property,1210.0,0.0,0.0,furnished,Low,Low Floor
flat,nagole,2.0,2.0,1.0,Under Construction,1260.0,0.0,0.0,unfurnished,Low,Low Floor
flat,narapally,2.0,2.0,2.0,Under Construction,1220.0,0.0,0.0,unfurnished,Low,Low Floor
flat,uppal,2.0,2.0,1.0,New Property,1355.0,0.0,0.0,unfurnished,Low,Mid Floor
flat,kondapur,2.0,2.0,1.0,New Property,1297.0,0.0,1.0,semifurnished,Medium,High Floor
flat,diamond hills,4.0,5.0,2.0,Moderately Old,3170.0,1.0,0.0,semifurnished,Medium,Low Floor
flat,banjara hills,3.0,4.0,1.0,Moderately Old,2900.0,1.0,1.0,unfurnished,Medium,Low Floor
flat,gachibowli,3.0,3.0,2.0,Moderately Old,1935.0,0.0,0.0,semifurnished,Low,Mid Floor
flat,miyapur,2.0,2.0,1.0,Relatively New,1145.0,0.0,0.0,unfurnished,Low,Low Floor
flat,kondapur,3.0,3.0,2.0,New Property,1885.0,0.0,0.0,furnished,Medium,Mid Floor
flat,sainikpuri,3.0,3.0,2.0,Moderately Old,1503.0,0.0,0.0,unfurnished,Medium,Mid Floor
flat,kompally,2.0,2.0,1.0,Relatively New,1290.0,0.0,0.0,semifurnished,Low,High Floor
flat,kowkoor village,3.0,3.0,1.0,New Property,1960.0,0.0,1.0,unfurnished,Low,Low Floor
flat,manikonda,2.0,2.0,2.0,Relatively New,1270.0,0.0,0.0,semifurnished,Medium,Mid Floor
flat,somajiguda,3.0,3.0,2.0,Old Property,3200.0,1.0,1.0,unfurnished,Low,Mid Floor
flat,film nagar,3.0,3.0,2.0,Old Property,2400.0,0.0,0.0,unfurnished,Low,Low Floor
flat,red hills,3.0,2.0,2.0,Old Property,1400.0,0.0,0.0,semifurnished,Medium,Mid Floor
flat,ap textbook colony,2.0,2.0,2.0,Old Property,1150.0,0.0,1.0,semifurnished,Low,Low Floor
flat,kokapet,4.0,5.0,4.0,Under Construction,2255.0,0.0,0.0,unfurnished,Low,High Floor
flat,kukatpally,2.0,2.0,2.0,Moderately Old,1200.0,0.0,0.0,semifurnished,Medium,Low Floor
flat,anand banjara colony,2.0,2.0,1.0,Old Property,1250.0,0.0,0.0,furnished,Medium,Low Floor
flat,turkayamjal,2.0,2.0,2.0,New Property,1200.0,0.0,0.0,unfurnished,Low,Low Floor
